class,Order,Family,Genus,Genus_species
Aves,Gruiformes,Rallidae,Fulica,Fulica cristata
Aves,Columbiformes,Columbidae,Columba,Columba livia
Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus melanopogon
Aves,Apodiformes,Trochilidae,Phaethornis,Phaethornis rupurumii
Aves,Passeriformes,Passerellidae,Ammodramus,Ammodramus leconteii
Aves,Falconiformes,Falconidae,Micrastur,Micrastur ruficollis
Aves,Passeriformes,Emberizidae,Emberiza,Emberiza spodocephala
Aves,Passeriformes,Prunellidae,Prunella,Prunella strophiata
Aves,Passeriformes,Emberizidae,Emberiza,Emberiza godlewskii
Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes chrysocome
Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes schlegeli
Aves,Galliformes,Phasianidae,Gallus,Gallus gallus
Aves,Passeriformes,Aegithalidae,Aegithalos,Aegithalos concinnus
Aves,Phoenicopteriformes,Phoenicopteridae,Phoenicopterus,Phoenicopterus roseus
Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis fulva
Aves,Passeriformes,Thraupidae,Sporophila,Sporophila pileata
Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter castanilius
Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter tachiro
Aves,Passeriformes,Turdidae,Turdus,Turdus merula
Aves,Charadriiformes,Laridae,Anous,Anous stolidus
Aves,Passeriformes,Estrildidae,Lonchura,Lonchura stygia
Aves,Caprimulgiformes,Caprimulgidae,Caprimulgus,Caprimulgus europaeus
Aves,Passeriformes,Corvidae,Calocitta,Calocitta colliei
Aves,Apodiformes,Trochilidae,Eriocnemis,Eriocnemis vestita
Aves,Passeriformes,Thamnophilidae,Willisornis,Willisornis poecilinotus
Aves,Charadriiformes,Charadriidae,Thinornis,Thinornis novaeseelandiae
Aves,Sphenisciformes,Spheniscidae,Pygoscelis,Pygoscelis adeliae
Aves,Procellariiformes,Procellariidae,Ardenna,Ardenna grisea
Aves,Procellariiformes,Procellariidae,Pterodroma,Pterodroma hypoleuca
Aves,Passeriformes,Emberizidae,Emberiza,Emberiza spodocephala
Aves,Passeriformes,Locustellidae,Helopsaltes,Helopsaltes certhiola
Aves,Passeriformes,Polioptilidae,Polioptila,Polioptila caerulea
Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius leschenaultii
Aves,Passeriformes,Passerellidae,Arremon,Arremon flavirostris
Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes chrysolophus
Aves,Galliformes,Phasianidae,Lophophorus,Lophophorus impejanus
Aves,Pelecaniformes,Pelecanidae,Pelecanus,Pelecanus rufescens
Aves,Passeriformes,Thraupidae,Volatinia,Volatinia jacarina
Aves,Passeriformes,Timaliidae,Stachyridopsis,Stachyridopsis ruficeps
Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter gentilis
Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter melanoleucus
Aves,Passeriformes,Pipridae,Manacus,Manacus manacus
Aves,Pelecaniformes,Ardeidae,Ixobrychus,Ixobrychus minutus
Aves,Passeriformes,Passerellidae,Pipilo,Pipilo maculatus
Aves,Columbiformes,Columbidae,Ducula,Ducula badia
Aves,Passeriformes,Cardinalidae,Habia,Habia rubica
Aves,Passeriformes,Estrildidae,Lonchura,Lonchura caniceps
Aves,Passeriformes,Phylloscopidae,Phylloscopus,Phylloscopus canariensis
Aves,Phoenicopteriformes,Phoenicopteridae,Phoenicoparrus,Phoenicoparrus jamesi
Aves,Anseriformes,Anatidae,Melanitta,Melanitta fusca
Aves,Passeriformes,Calcariidae,Plectrophenax,Plectrophenax nivalis
Aves,Procellariiformes,Procellariidae,Ardenna,Ardenna carneipes
Aves,Procellariiformes,Procellariidae,Macronectes,Macronectes halli
Aves,Passeriformes,Alaudidae,Galerida,Galerida cristata
Aves,Passeriformes,Timaliidae,Stachyridopsis,Stachyridopsis ruficeps
Aves,Passeriformes,Regulidae,Regulus,Regulus goodfellowi
Aves,Passeriformes,Passerellidae,Melozone,Melozone albicollis
Aves,Passeriformes,Irenidae,Irena,Irena puella
Aves,Passeriformes,Thraupidae,Ramphocelus,Ramphocelus dimidiatus
Aves,Passeriformes,Muscicapidae,Oenanthe,Oenanthe finschii
Aves,Passeriformes,Turdidae,Turdus,Turdus viscivorus
Aves,Passeriformes,Furnariidae,Xiphorhynchus,Xiphorhynchus lachrymosus
Aves,Passeriformes,Alaudidae,Eremopterix,Eremopterix nigriceps
Aves,Columbiformes,Columbidae,Ptilinopus,Ptilinopus dupetithouarsii
Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus scirpaceus
Aves,Falconiformes,Falconidae,Falco,Falco naumanni
Aves,Passeriformes,Estrildidae,Lonchura,Lonchura punctulata
Aves,Galliformes,Phasianidae,Perdix,Perdix perdix
Aves,Passeriformes,,,
Aves,Columbiformes,,,
Aves,Passeriformes,,,
Aves,Passeriformes,,,
Aves,Charadriiformes,,,
Aves,Passeriformes,,,
Aves,Suliformes,,,
Aves,Passeriformes,,,
Aves,Passeriformes,,,
Aves,Passeriformes,,,
Aves,Passeriformes,,,
Aves,Passeriformes,,,
Aves,Charadriiformes,Scolopacidae,Arenaria,Arenaria interpres
Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus brevirostris
Aves,Passeriformes,Tyrannidae,Colonia,Colonia colonus
Aves,Passeriformes,Troglodytidae,Troglodytes,Troglodytes aedon
Aves,Passeriformes,Rhipiduridae,Rhipidura,Rhipidura javanica
Aves,Passeriformes,Furnariidae,Syndactyla,Syndactyla subalaris
Aves,Passeriformes,,,
Aves,Apodiformes,,,
Aves,Passeriformes,Petroicidae,Amalocichla,Amalocichla incerta
Aves,Passeriformes,Aegithalidae,Aegithalos,Aegithalos concinnus
Aves,Passeriformes,Zosteropidae,Zosterops,Zosterops japonicus
Aves,Pelecaniformes,Ardeidae,Ixobrychus,Ixobrychus sinensis
Aves,Galliformes,Phasianidae,Chrysolophus,Chrysolophus amherstiae
Aves,Passeriformes,Paradoxornithidae,Sinosuthora,Sinosuthora webbiana
Aves,Passeriformes,Paridae,Sittiparus,Sittiparus varius
Aves,Passeriformes,Fringillidae,Carpodacus,Carpodacus sibiricus
Aves,Psittaciformes,Cacatuidae,Cacatua,Cacatua moluccensis
Aves,Passeriformes,Acanthizidae,Sericornis,Sericornis nouhuysi
Aves,Passeriformes,Sylviidae,Curruca,Curruca subalpina
Aves,Passeriformes,Parulidae,Myiothlypis,Myiothlypis bivittata
Aves,Charadriiformes,Scolopacidae,Calidris,Calidris melanotos
Aves,Passeriformes,,,
Aves,Piciformes,,,
Aves,Passeriformes,Regulidae,Regulus,Regulus goodfellowi
Aves,Passeriformes,Muscicapidae,Monticola,Monticola solitarius
Aves,Piciformes,Picidae,Dryocopus,Dryocopus martius
Aves,Passeriformes,,,
Aves,Charadriiformes,Scolopacidae,Actitis,Actitis macularius
Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus perdix
Aves,Piciformes,Ramphastidae,Ramphastos,Ramphastos sulfuratus
Aves,Passeriformes,Thraupidae,Eucometis,Eucometis penicillata
Aves,Passeriformes,Thraupidae,Tangara,Tangara larvata
Aves,Passeriformes,Tyrannidae,Myiarchus,Myiarchus tuberculifer
Aves,Passeriformes,Corvidae,Corvus,Corvus splendens
Aves,Psittaciformes,Psittacidae,Pionus,Pionus menstruus
Aves,Passeriformes,Phylloscopidae,Phylloscopus,Phylloscopus fuscatus
Aves,Anseriformes,Anatidae,Anas,Anas poecilorhyncha
Aves,Phoenicopteriformes,Phoenicopteridae,Phoenicopterus,Phoenicopterus roseus
Aves,Galliformes,Phasianidae,Gallus,Gallus gallus
Aves,Columbiformes,Columbidae,Ducula,
Aves,Galliformes,Phasianidae,Polyplectron,Polyplectron bicalcaratum
Aves,Passeriformes,Estrildidae,Lonchura,Lonchura melaena
Aves,Anseriformes,Anatidae,Branta,
Aves,Apodiformes,Trochilidae,Sappho,Sappho sparganurus
Aves,Apodiformes,Trochilidae,Sappho,Sappho sparganurus
Aves,Passeriformes,Icteridae,Cacicus,Cacicus haemorrhous
Aves,Piciformes,,,
Aves,Procellariiformes,Procellariidae,Pterodroma,Pterodroma inexpectata
Aves,Passeriformes,Timaliidae,Stachyridopsis,Stachyridopsis ruficeps
Aves,Passeriformes,Muscicapidae,Tarsiger,Tarsiger johnstoniae
Aves,Passeriformes,Alaudidae,Alauda,Alauda arvensis
Aves,Passeriformes,Phylloscopidae,Phylloscopus,Phylloscopus trochilus
Aves,Passeriformes,Pycnonotidae,Tricholestes,Tricholestes criniger
Aves,Procellariiformes,Procellariidae,Puffinus,Puffinus boydi
Aves,Passeriformes,Ploceidae,Ploceus,Ploceus ruweti
Aves,Pelecaniformes,Pelecanidae,Pelecanus,Pelecanus rufescens
Aves,Passeriformes,Paridae,Parus,Parus major
Aves,Piciformes,Picidae,Dinopium,Dinopium benghalense
Aves,Psittaciformes,Psittacidae,Amazona,Amazona sp.
Aves,Passeriformes,Furnariidae,Lepidocolaptes,Lepidocolaptes squamatus
Aves,Passeriformes,Paridae,Poecile,Poecile palustris
Aves,Bucerotiformes,Upupidae,Upupa,Upupa epops
Aves,Anseriformes,Anatidae,Branta,Branta hutchinsii
Aves,Anseriformes,Anatidae,Branta,Branta hutchinsii
Aves,Passeriformes,Thraupidae,Compsospiza,Compsospiza baeri
Aves,Passeriformes,Thraupidae,Tangara,Tangara seledon
Aves,Passeriformes,Thamnophilidae,Myrmotherula,Myrmotherula axillaris
Aves,Apodiformes,Trochilidae,Thalurania,Thalurania furcata
Aves,Trogoniformes,Trogonidae,Trogon,Trogon rufus
Aves,Passeriformes,Furnariidae,Xenops,Xenops minutus
Aves,Passeriformes,Turdidae,Turdus,Turdus albicollis
Aves,Passeriformes,Pipridae,Ceratopipra,Ceratopipra erythrocephala
Aves,Passeriformes,Pipridae,Ceratopipra,Ceratopipra erythrocephala
Aves,Passeriformes,Thamnophilidae,Myrmotherula,Myrmotherula longipennis
Aves,Passeriformes,Thamnophilidae,Pithys,Pithys albifrons
Aves,Charadriiformes,Laridae,Chroicocephalus,Chroicocephalus novaehollandiae
Aves,Passeriformes,Locustellidae,Helopsaltes,Helopsaltes pryeri
Aves,Passeriformes,,,
Aves,Piciformes,Picidae,Campephilus,Campephilus melanoleucos
Aves,Passeriformes,Phylloscopidae,Phylloscopus,Phylloscopus tenellipes
Aves,Passeriformes,Emberizidae,Emberiza,Emberiza godlewskii
Aves,Procellariiformes,Procellariidae,Puffinus,Puffinus lherminieri
Aves,Sphenisciformes,Spheniscidae,Megadyptes,
Aves,Passeriformes,Laniidae,Lanius,Lanius collurio
Aves,Passeriformes,Laniidae,Lanius,Lanius collurio
Aves,Passeriformes,Alaudidae,Eremophila,Eremophila alpestris
Aves,Suliformes,Fregatidae,Fregata,Fregata minor
Aves,Charadriiformes,Scolopacidae,Limosa,Limosa limosa
Aves,Passeriformes,Thraupidae,Sporophila,Sporophila bouvreuil
Aves,Columbiformes,Columbidae,Oena,Oena capensis
Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus palustris
Aves,Anseriformes,Anatidae,Branta,Branta canadensis
Aves,Psittaciformes,,,
Aves,Passeriformes,Thamnophilidae,Willisornis,Willisornis poecilinotus
Aves,Passeriformes,Furnariidae,Glyphorynchus,Glyphorynchus spirurus
Aves,Passeriformes,Tyrannidae,Mionectes,Mionectes macconnelli
Aves,Passeriformes,Formicariidae,Formicarius,Formicarius colma
Aves,Passeriformes,Pipridae,Pseudopipra,Pseudopipra pipra
Aves,Passeriformes,Sylviidae,Sylvia,Sylvia curruca
Aves,Passeriformes,Mohouidae,Mohoua,Mohoua ochrocephala
Aves,Accipitriformes,Accipitridae,Circaetus,Circaetus gallicus
Aves,Passeriformes,,,
Aves,Passeriformes,,,
Aves,Coraciiformes,Alcedinidae,Halcyon,Halcyon coromanda
Aves,Strigiformes,Strigidae,Strix,Strix uralensis
Aves,Apodiformes,,,
Aves,Charadriiformes,,,
Aves,Passeriformes,Pipridae,Lepidothrix,Lepidothrix nattereri
Aves,Piciformes,Picidae,Celeus,Celeus grammicus
Aves,Gruiformes,Sarothruridae,Sarothrura,Sarothrura rufa
Aves,Passeriformes,Cardinalidae,Piranga,Piranga erythrocephala
Aves,Charadriiformes,Scolopacidae,Coenocorypha,Coenocorypha pusilla
Aves,Passeriformes,Zosteropidae,Zosterops,Zosterops japonicus
Aves,Passeriformes,Sturnidae,Lamprotornis,Lamprotornis pulcher
Aves,Passeriformes,Petroicidae,Petroica,Petroica multicolor
Aves,Gruiformes,Gruidae,Antigone,Antigone vipio
Aves,Galliformes,Phasianidae,Perdix,Perdix perdix
Aves,Passeriformes,Sturnidae,Acridotheres,Acridotheres cristatellus
Aves,Apodiformes,Trochilidae,Lesbia,Lesbia victoriae
Aves,Passeriformes,Furnariidae,Glyphorynchus,Glyphorynchus spirurus
Aves,Passeriformes,Furnariidae,Glyphorynchus,Glyphorynchus spirurus
Aves,Passeriformes,Thamnophilidae,Thamnomanes,Thamnomanes caesius
Aves,Passeriformes,Furnariidae,Glyphorynchus,Glyphorynchus spirurus
Aves,Passeriformes,Furnariidae,Glyphorynchus,Glyphorynchus spirurus
Aves,Passeriformes,Thraupidae,Lanio,Lanio fulvus
Aves,Passeriformes,Furnariidae,Glyphorynchus,Glyphorynchus spirurus
Aves,Gaviiformes,Gaviidae,Gavia,Gavia stellata
Aves,Charadriiformes,Scolopacidae,Tringa,Tringa stagnatilis
Aves,Charadriiformes,Jacanidae,Jacana,Jacana jacana
Aves,Passeriformes,Passerellidae,Ammodramus,Ammodramus maritimus
Aves,Pelecaniformes,Ardeidae,Egretta,Egretta eulophotes
Aves,Columbiformes,Columbidae,Ectopistes,Ectopistes migratorius
Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes robustus
Aves,Passeriformes,Oriolidae,Oriolus,Oriolus chinensis
Aves,Passeriformes,Passerellidae,Zonotrichia,Zonotrichia capensis
Aves,Columbiformes,Columbidae,Ptilinopus,Ptilinopus roseicapilla
Aves,Psittaciformes,Psittacidae,Amazona,Amazona aestiva
Aves,Pelecaniformes,Ardeidae,Egretta,Egretta eulophotes
Aves,Passeriformes,Thraupidae,Coereba,Coereba flaveola
Aves,Passeriformes,,,
Aves,Passeriformes,Cardinalidae,Cyanocompsa,Cyanocompsa cyanoides
Aves,Passeriformes,Tyrannidae,Platyrinchus,Platyrinchus coronatus
Aves,Passeriformes,Turdidae,Turdus,Turdus albicollis
Aves,Passeriformes,Turdidae,Turdus,Turdus albicollis
Aves,Passeriformes,Thamnophilidae,Thamnomanes,Thamnomanes ardesiacus
Aves,Passeriformes,Tyrannidae,Corythopis,Corythopis torquatus
Aves,Passeriformes,Thamnophilidae,Pithys,Pithys albifrons
Aves,Passeriformes,Phylloscopidae,Phylloscopus,Phylloscopus collybita
Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus
Aves,Passeriformes,Zosteropidae,Zosterops,Zosterops japonicus
Aves,Passeriformes,Tityridae,Pachyramphus,Pachyramphus aglaiae
Aves,Passeriformes,Troglodytidae,Cantorchilus,Cantorchilus nigricapillus
Aves,Charadriiformes,Jacanidae,Jacana,Jacana jacana
Aves,Strigiformes,Tytonidae,Tyto,Tyto alba
Aves,Passeriformes,Turdidae,Catharus,Catharus bicknelli
Aves,Passeriformes,,,
Aves,Passeriformes,,,
Aves,Piciformes,,,
Aves,Piciformes,,,
Aves,Passeriformes,,,
Aves,Passeriformes,,,
Aves,Passeriformes,,,
Aves,Passeriformes,Pipridae,Neopelma,Neopelma sulphureiventer
Aves,Procellariiformes,Procellariidae,Puffinus,Puffinus boydi
Aves,Passeriformes,Turdidae,Turdus,Turdus viscivorus
Aves,Passeriformes,Furnariidae,Dendrocincla,Dendrocincla merula
Aves,Procellariiformes,Procellariidae,Pterodroma,Pterodroma feae
Aves,Passeriformes,Pycnonotidae,Pycnonotus,Pycnonotus plumosus
Aves,Passeriformes,Sylviidae,Sylvia,Sylvia communis
Aves,Charadriiformes,Recurvirostridae,Himantopus,Himantopus novaezelandiae
Aves,Phaethontiformes,Phaethontidae,Phaethon,Phaethon rubricauda
Aves,Procellariiformes,Procellariidae,Ardenna,Ardenna pacifica
Aves,Charadriiformes,Scolopacidae,Numenius,Numenius phaeopus
Aves,Galliformes,Phasianidae,Phasianus,Phasianus versicolor
Aves,Passeriformes,Motacillidae,Motacilla,Motacilla grandis
Aves,Passeriformes,Emberizidae,Emberiza,Emberiza elegans
Aves,Passeriformes,Troglodytidae,Cantorchilus,Cantorchilus leucotis
Aves,Passeriformes,Muscicapidae,Phoenicurus,Phoenicurus ochruros
Aves,Trogoniformes,Trogonidae,Trogon,Trogon rufus
Aves,Pelecaniformes,Pelecanidae,Pelecanus,Pelecanus conspicillatus
Aves,Anseriformes,Anatidae,Chenonetta,Chenonetta jubata
Aves,Anseriformes,Anatidae,Anas,Anas superciliosa
Aves,Passeriformes,Monarchidae,Grallina,Grallina cyanoleuca
Aves,Psittaciformes,Cacatuidae,Lophochroa,Lophochroa leadbeateri
Aves,Psittaciformes,Cacatuidae,Eolophus,Eolophus roseicapilla
Aves,Psittaciformes,Cacatuidae,Cacatua,Cacatua galerita
Aves,Psittaciformes,Cacatuidae,Cacatua,Cacatua galerita
Aves,Psittaciformes,Psittaculidae,Alisterus,Alisterus scapularis
Aves,Psittaciformes,Cacatuidae,Cacatua,Cacatua sanguinea
Aves,Psittaciformes,Cacatuidae,Cacatua,Cacatua galerita
Aves,Psittaciformes,Cacatuidae,Calyptorhynchus,Calyptorhynchus banksii
Aves,Psittaciformes,Psittaculidae,Alisterus,Alisterus scapularis
Aves,Passeriformes,Climacteridae,Cormobates,Cormobates leucophaea
Aves,Passeriformes,Paridae,Parus,Parus major
Aves,Apterygiformes,Apterygidae,Apteryx,Apteryx mantelli
Aves,Galliformes,Phasianidae,Gallus,Gallus varius
Aves,Piciformes,Picidae,Sasia,Sasia ochracea
Aves,Bucerotiformes,Bucerotidae,Rhyticeros,Rhyticeros undulatus
Aves,Piciformes,Picidae,Dryocopus,Dryocopus pileatus
Aves,Coraciiformes,Alcedinidae,Actenoides,Actenoides lindsayi
Aves,Passeriformes,Certhiidae,Certhia,Certhia brachydactyla
Aves,Passeriformes,Furnariidae,Syndactyla,Syndactyla dimidiata
Aves,Strigiformes,Strigidae,Ninox,Ninox japonica
Aves,Accipitriformes,Accipitridae,Circus,Circus aeruginosus
Aves,Passeriformes,Nectariniidae,Cinnyris,Cinnyris minullus
Aves,Passeriformes,Estrildidae,Lonchura,Lonchura fuscans
Aves,Apodiformes,Trochilidae,Lepidopyga,Lepidopyga coeruleogularis
Aves,Passeriformes,Vireonidae,Vireo,Vireo gilvus
Aves,Passeriformes,,,
Aves,Passeriformes,,,
Aves,Passeriformes,,,
Aves,Passeriformes,,,
Aves,Cuculiformes,,,
Aves,Passeriformes,,,
Aves,Passeriformes,,,
Aves,Passeriformes,Emberizidae,Emberiza,Emberiza godlewskii
Aves,Passeriformes,Turdidae,Turdus,Turdus viscivorus
Aves,Passeriformes,Aegithalidae,Aegithalos,Aegithalos concinnus
Aves,Passeriformes,Pycnonotidae,Pycnonotus,Pycnonotus jocosus
Aves,Passeriformes,Zosteropidae,Zosterops,Zosterops japonicus
Aves,Galliformes,Phasianidae,Coturnix,Coturnix japonica
Aves,Passeriformes,Tyrannidae,Lathrotriccus,Lathrotriccus euleri
Aves,Passeriformes,Thamnophilidae,Thamnomanes,Thamnomanes caesius
Aves,Passeriformes,Furnariidae,Sclerurus,Sclerurus mexicanus
Aves,Procellariiformes,Procellariidae,Pachyptila,Pachyptila vittata
Aves,Charadriiformes,Turnicidae,Turnix,Turnix suscitator
Aves,Passeriformes,,,
Aves,Passeriformes,,,
Aves,Passeriformes,,,
Aves,Passeriformes,,,
Aves,Charadriiformes,,,
Aves,Falconiformes,,,
Aves,Passeriformes,,,
Aves,Piciformes,,,
Aves,Passeriformes,,,
Aves,Passeriformes,,,
Aves,Passeriformes,,,
Aves,Passeriformes,,,
Aves,Piciformes,,,
Aves,Passeriformes,,,
Aves,Passeriformes,,,
Aves,Passeriformes,,,
Aves,Cuculiformes,,,
Aves,Piciformes,,,
Aves,Passeriformes,,,
Aves,Passeriformes,,,
Aves,Passeriformes,,,
Aves,Apodiformes,Trochilidae,Adelomyia,Adelomyia melanogenys
Aves,Piciformes,Picidae,Colaptes,Colaptes melanochloros
Aves,Passeriformes,Tyrannidae,Tyrannus,Tyrannus forficatus
Aves,Passeriformes,,,
Aves,Passeriformes,Certhiidae,Certhia,Certhia familiaris
Aves,Piciformes,Picidae,Picus,Picus canus
Aves,Passeriformes,Zosteropidae,Yuhina,Yuhina everetti
Aves,Passeriformes,Passerellidae,Junco,Junco hyemalis
Aves,Apodiformes,Trochilidae,Phaethornis,Phaethornis striigularis
Aves,Passeriformes,Thraupidae,Thraupis,Thraupis palmarum
Aves,Passeriformes,Tyrannidae,Sublegatus,Sublegatus arenarum
Aves,Passeriformes,Alaudidae,Eremopterix,Eremopterix nigriceps
Aves,Passeriformes,Pipridae,Neopelma,Neopelma chrysolophum
Aves,Psittaciformes,Psittacidae,Pionus,Pionus chalcopterus
Aves,Passeriformes,Laniidae,Lanius,Lanius collurio
Aves,Passeriformes,Nectariniidae,Arachnothera,Arachnothera longirostra
Aves,Passeriformes,Parulidae,Setophaga,Setophaga vitellina
Aves,Passeriformes,Corvidae,Aphelocoma,Aphelocoma californica
Aves,Passeriformes,Aegithalidae,Aegithalos,Aegithalos fuliginosus
Aves,Passeriformes,Rhipiduridae,Rhipidura,Rhipidura javanica
Aves,Gruiformes,Gruidae,Leucogeranus,Leucogeranus leucogeranus
